phi,I_0,I_0_err,I_90,I_90_err,I_45,I_45_err,I_135,I_135_err
15,961.1,0.12,5792,0.29,1592,0.1,5202,0.3
30,2451,0.12,3903,0.18,1724,0.12,4864,0.17
45,3363,0.13,3411,0.16,3327,0.12,3780,0.089
60,2585,0.1,4239,0.17,4734,0.09,2170,0.13
75,754.2,0.054,6176,0.14,4597,0.13,2277,0.1
90,79.65,0.018,6851,0.21,2866,0.099,3893,0.16
0,39.43,0.053,6954,0.18,3063,0.097,3741,0.22
7.5,480.6,0.069,6253,0.13,2130,0.1,4364,0.12
22.5,1911,0.12,4947,0.18,1504,0.11,4831,0.13
37.5,3294,0.37,3447,0.11,2601,0.11,4194,0.15
52.5,3091,0.19,3589,0.13,4351,0.18,2319,0.15
67.5,1455,0.081,5636,0.14,5011,0.12,1910,0.13
82.5,285.6,0.071,3189,0.72,2299,0.55,1097,0.29
48.75,1446,0.3,1446,0.62,1416,0.26,1428,0.27
41.25,1301,0.35,1641,0.21,1147,0.16,1900,0.19